name,gate_name,n,np.average(construction_times),np.average(simulation_times),np.min(precisions),np.average(abs_errors),np.average(euclid_errors)
rec,X^(1/2),2,0.25,1.0,17,0.0,0.0
rec,X^(1/4),2,0.0,0.75,17,0.0,0.0
rec,X^(1/8),2,0.5,0.0,17,0.0,0.0
rec,H,2,0.0,0.5,17,0.0,0.0
rec,X,2,0.0,0.5,17,0.0,0.0
rec,Y,2,0.0,0.75,17,0.0,0.0
rec,Z,2,0.0,0.75,17,0.0,0.0
rec,Rx,2,0.5,0.25,17,0.0,0.0
rec,Ry,2,0.0,0.75,17,0.0,0.0
rec,Rz,2,0.25,0.5,17,0.0,0.0
itr,X^(1/2),2,0.25,0.5,17,0.0,0.0
itr,X^(1/4),2,0.0,0.75,17,0.0,0.0
itr,X^(1/8),2,0.0,0.75,17,0.0,0.0
itr,H,2,0.25,0.75,17,0.0,0.0
itr,X,2,0.25,0.5,17,0.0,0.0
itr,Y,2,0.5,0.5,17,0.0,0.0
itr,Z,2,0.25,0.75,17,0.0,0.0
itr,Rx,2,0.5,0.5,17,0.0,0.0
itr,Ry,2,0.0,1.0,17,0.0,0.0
itr,Rz,2,0.25,0.5,17,0.0,0.0
rec,X^(1/2),3,0.875,1.75,7,2.2351742e-08,2.2351742e-08
rec,X^(1/4),3,1.25,1.625,7,1.4901161e-08,1.5359765e-08
rec,X^(1/8),3,1.0,1.75,17,0.0,0.0
rec,H,3,1.0,1.875,7,1.8626451e-08,2.3853497e-08
rec,X,3,0.875,1.625,17,0.0,0.0
rec,Y,3,0.875,1.625,17,0.0,0.0
rec,Z,3,1.0,1.5,17,0.0,0.0
rec,Rx,3,0.875,1.75,7,4.4703484e-08,4.4703484e-08
rec,Ry,3,1.125,2.0,7,4.4703484e-08,4.4703484e-08
rec,Rz,3,1.0,1.875,7,4.4703484e-08,4.4703484e-08
itr,X^(1/2),3,0.875,2.0,7,2.2351742e-08,2.2351742e-08
itr,X^(1/4),3,0.5,1.75,7,1.4901161e-08,1.5359765e-08
itr,X^(1/8),3,0.5,2.0,17,0.0,0.0
itr,H,3,0.75,1.375,7,1.8626451e-08,2.3853497e-08
itr,X,3,0.75,1.5,17,0.0,0.0
itr,Y,3,1.0,1.625,17,0.0,0.0
itr,Z,3,0.5,1.875,17,0.0,0.0
itr,Rx,3,0.75,1.75,7,4.4703484e-08,4.4703484e-08
itr,Ry,3,0.75,1.5,7,4.4703484e-08,4.4703484e-08
itr,Rz,3,0.625,1.75,7,4.4703484e-08,4.4703484e-08
rec,X^(1/2),4,3.3125,5.3125,7,2.4271714e-08,2.4441931e-08
rec,X^(1/4),4,3.4375,5.25,7,1.112397e-08,1.2260626e-08
rec,X^(1/8),4,3.375,5.375,6,2.6276824e-08,2.6411618e-08
rec,H,4,3.625,5.375,7,5.6281795e-08,6.0334344e-08
rec,X,4,3.625,5.9375,7,3.427849e-08,3.4314798e-08
rec,Y,4,3.8125,5.625,7,3.427849e-08,3.4314798e-08
rec,Z,4,3.3125,5.25,7,2.2351742e-08,2.2351742e-08
rec,Rx,4,3.4375,5.25,7,3.3527613e-08,3.3585593e-08
rec,Ry,4,3.375,5.5625,7,3.3527613e-08,3.3585593e-08
rec,Rz,4,3.1875,5.5,7,4.020652e-08,4.020652e-08
itr,X^(1/2),4,1.6875,3.6875,7,9.778887e-09,1.3282362e-08
itr,X^(1/4),4,1.75,3.5,7,9.324656e-09,1.0690844e-08
itr,X^(1/8),4,1.6875,3.625,6,2.3491287e-08,2.3573481e-08
itr,H,4,1.8125,3.5625,6,1.4584121e-07,1.4896051e-07
itr,X,4,1.75,3.5,7,7.082876e-08,7.127778e-08
itr,Y,4,2.0,3.5,7,7.082876e-08,7.127778e-08
itr,Z,4,1.5625,3.6875,7,5.2154064e-08,5.2154064e-08
itr,Rx,4,1.8125,3.5625,7,1.1175871e-08,1.1233853e-08
itr,Ry,4,1.8125,3.5625,7,1.1175871e-08,1.1233853e-08
itr,Rz,4,1.625,3.75,7,1.1233853e-08,1.1233853e-08
rec,X^(1/2),5,10.84375,16.5,7,6.083137e-08,7.047471e-08
rec,X^(1/4),5,10.8125,16.75,6,6.672319e-08,7.1447396e-08
rec,X^(1/8),5,10.65625,16.15625,6,9.258916e-08,9.919104e-08
rec,H,5,10.90625,16.46875,6,9.668282e-08,1.1245082e-07
rec,X,5,10.84375,16.4375,7,4.176755e-08,4.8817387e-08
rec,Y,5,10.84375,16.46875,7,4.176755e-08,4.8817387e-08
rec,Z,5,10.84375,16.3125,7,5.1950035e-08,5.723272e-08
rec,Rx,5,10.78125,16.53125,7,5.8614706e-08,7.022257e-08
rec,Ry,5,10.96875,16.0625,7,5.8614706e-08,7.022257e-08
rec,Rz,5,11.0,16.21875,6,7.7341376e-08,8.703269e-08
itr,X^(1/2),5,3.3125,7.6875,7,1.0648765e-08,1.3251455e-08
itr,X^(1/4),5,3.34375,7.71875,6,2.9229868e-08,3.1313395e-08
itr,X^(1/8),5,3.25,7.8125,6,7.1004706e-08,7.1232165e-08
itr,H,5,3.1875,7.65625,6,2.0761631e-07,2.0920575e-07
itr,X,5,3.21875,7.625,6,2.5069875e-08,2.6505012e-08
itr,Y,5,3.46875,7.6875,6,2.5069875e-08,2.6505012e-08
itr,Z,5,3.21875,7.6875,6,1.04945926e-07,1.04945926e-07
itr,Rx,5,3.25,7.9375,6,1.899898e-07,1.9008233e-07
itr,Ry,5,3.3125,7.71875,6,1.899898e-07,1.9008233e-07
itr,Rz,5,3.28125,7.84375,6,1.9008233e-07,1.9008233e-07
rec,X^(1/2),6,33.234375,50.9375,6,1.3235723e-07,1.6134491e-07
rec,X^(1/4),6,32.578125,50.890625,6,1.6636866e-07,1.9059941e-07
rec,X^(1/8),6,32.515625,50.53125,6,2.0284256e-07,2.30021e-07
rec,H,6,32.984375,50.53125,6,1.5717751e-07,1.9313583e-07
rec,X,6,32.578125,50.78125,6,1.1423357e-07,1.4075889e-07
rec,Y,6,32.546875,51.453125,6,1.1423357e-07,1.4075889e-07
rec,Z,6,32.859375,50.78125,6,1.3103079e-07,1.4869164e-07
rec,Rx,6,32.359375,50.6875,6,1.3749505e-07,1.6370072e-07
rec,Ry,6,32.921875,50.546875,6,1.3749505e-07,1.6370072e-07
rec,Rz,6,32.90625,50.6875,6,1.2687462e-07,1.5246593e-07
itr,X^(1/2),6,6.40625,15.859375,6,5.640193e-08,6.16055e-08
itr,X^(1/4),6,6.453125,15.765625,6,1.3799138e-07,1.390791e-07
itr,X^(1/8),6,6.53125,15.671875,6,1.00710764e-07,1.0098246e-07
itr,H,6,6.5,15.53125,6,2.6288834e-07,2.639053e-07
itr,X,6,6.515625,15.84375,6,1.8970136e-08,2.2437423e-08
itr,Y,6,7.140625,16.265625,6,1.8970136e-08,2.2437423e-08
itr,Z,6,6.609375,16.4375,6,2.936781e-07,2.936781e-07
itr,Rx,6,6.5,15.890625,6,7.5495336e-08,7.550443e-08
itr,Ry,6,6.390625,15.59375,6,7.5495336e-08,7.550443e-08
itr,Rz,6,6.421875,15.6875,6,7.550443e-08,7.550443e-08
rec,X^(1/2),7,98.609375,158.3671875,6,3.611392e-07,4.5616613e-07
rec,X^(1/4),7,97.890625,157.8828125,6,3.812978e-07,4.7603118e-07
rec,X^(1/8),7,97.9453125,158.109375,6,4.2791152e-07,5.139633e-07
rec,H,7,98.015625,157.671875,6,3.9303265e-07,5.0074766e-07
rec,X,7,98.59375,158.3203125,6,3.39477e-07,4.2131546e-07
rec,Y,7,98.3125,157.09375,6,3.39477e-07,4.2131546e-07
rec,Z,7,98.5625,158.8984375,6,3.4479604e-07,4.1701858e-07
rec,Rx,7,97.4765625,156.71875,6,3.602135e-07,4.4493373e-07
rec,Ry,7,97.7421875,157.0078125,6,3.602135e-07,4.4493373e-07
rec,Rz,7,97.6953125,157.0078125,6,3.8605248e-07,4.808594e-07
itr,X^(1/2),7,12.359375,32.5234375,6,2.7963975e-07,2.8299888e-07
itr,X^(1/4),7,12.3984375,32.6953125,6,1.987757e-07,2.0029742e-07
itr,X^(1/8),7,12.6484375,32.6484375,6,2.0887319e-07,2.0904841e-07
itr,H,7,12.390625,32.6875,6,8.332954e-08,8.413906e-08
itr,X,7,12.5078125,32.3828125,6,1.2374625e-07,1.2398885e-07
itr,Y,7,12.3046875,32.4765625,6,1.2374625e-07,1.2398885e-07
itr,Z,7,12.5390625,33.171875,6,4.0453692e-08,4.0453692e-08
itr,Rx,7,12.6015625,32.4140625,6,1.7881393e-07,1.791975e-07
itr,Ry,7,12.65625,32.65625,6,1.7881393e-07,1.791975e-07
itr,Rz,7,12.265625,32.8203125,6,1.791975e-07,1.791975e-07
rec,X^(1/2),8,295.28515625,491.20703125,5,1.0799953e-06,1.3477761e-06
rec,X^(1/4),8,296.671875,491.26953125,5,1.0973496e-06,1.3771587e-06
rec,X^(1/8),8,295.19921875,491.765625,5,1.0860792e-06,1.3687595e-06
rec,H,8,295.8984375,490.3125,5,1.1035511e-06,1.414979e-06
rec,X,8,295.75,490.55859375,5,1.0364754e-06,1.2887135e-06
rec,Y,8,296.1328125,491.09375,5,1.0364754e-06,1.2887135e-06
rec,Z,8,296.16796875,490.34765625,5,1.039415e-06,1.271676e-06
rec,Rx,8,295.23828125,490.8984375,5,1.0563467e-06,1.340081e-06
rec,Ry,8,295.640625,490.40234375,5,1.0563467e-06,1.340081e-06
rec,Rz,8,295.359375,491.11328125,5,1.1209534e-06,1.4155331e-06
itr,X^(1/2),8,24.75,66.68359375,5,3.9810655e-07,4.0259624e-07
itr,X^(1/4),8,24.953125,66.1484375,5,4.176917e-07,4.1889282e-07
itr,X^(1/8),8,24.65625,66.4296875,6,3.633538e-08,3.6381422e-08
itr,H,8,24.6953125,66.8984375,5,2.494902e-06,2.4986373e-06
itr,X,8,24.66015625,66.1875,5,5.551413e-07,5.553296e-07
itr,Y,8,24.8671875,66.7578125,5,5.551413e-07,5.553296e-07
itr,Z,8,24.84765625,66.7109375,5,8.312348e-07,8.312348e-07
itr,Rx,8,24.33984375,66.59375,6,2.416782e-07,2.4217223e-07
itr,Ry,8,24.45703125,66.30859375,6,2.416782e-07,2.4217223e-07
itr,Rz,8,24.68359375,66.71875,6,2.4217223e-07,2.4217223e-07
rec,X^(1/2),9,901.140625,1543.044921875,5,3.2831776e-06,4.127697e-06
rec,X^(1/4),9,899.845703125,1544.111328125,5,3.3814756e-06,4.2260003e-06
rec,X^(1/8),9,899.5390625,1543.94140625,5,3.2945718e-06,4.1604744e-06
rec,H,9,900.958984375,1545.396484375,5,3.3563406e-06,4.228169e-06
rec,X,9,898.38671875,1546.494140625,5,3.1879108e-06,3.968252e-06
rec,Y,9,899.791015625,1545.228515625,5,3.1879108e-06,3.968252e-06
rec,Z,9,899.830078125,1546.64453125,5,3.1437278e-06,3.9273054e-06
rec,Rx,9,899.8828125,1543.796875,5,3.3214837e-06,4.1861717e-06
rec,Ry,9,899.115234375,1544.587890625,5,3.3214837e-06,4.1861717e-06
rec,Rz,9,900.005859375,1547.40625,5,3.3024967e-06,4.1843937e-06
itr,X^(1/2),9,49.16015625,133.7734375,5,8.321515e-07,8.351237e-07
itr,X^(1/4),9,49.97265625,133.884765625,5,7.066503e-08,7.0904264e-08
itr,X^(1/8),9,49.83984375,133.267578125,5,9.355448e-07,9.3579354e-07
itr,H,9,49.45703125,134.552734375,5,2.8819767e-07,2.8916094e-07
itr,X,9,49.3359375,134.69140625,5,8.038474e-07,8.040473e-07
itr,Y,9,49.38671875,134.021484375,5,8.038474e-07,8.040473e-07
itr,Z,9,49.974609375,133.57421875,5,3.027972e-07,3.027972e-07
itr,Rx,9,49.171875,134.388671875,6,3.777678e-08,3.791841e-08
itr,Ry,9,49.150390625,133.9765625,6,3.7776772e-08,3.7918404e-08
itr,Rz,9,49.3203125,134.740234375,6,3.7918404e-08,3.7918404e-08
